dialog_id,start_time,end_time,filename,transcript,label
yQ1IA117gKE,62.01,64.51,yQ1IA117gKE_62.01404081_64.50618698,On the vehicle that you drive,neutral
GQhw9teSyKc,18.04,18.4,GQhw9teSyKc_18.03887514_18.39887894,Okay,neutral
yQ1IA117gKE,376.03,380.59,yQ1IA117gKE_376.034_380.59,"So even though you are responsible for that, I'm gonna take a big burden off your head.",empathetic
vt2NjqXKzyA,877.85,879.87,vt2NjqXKzyA_877.846_879.871,and somehow that's not possible,empathetic
Itp21tly8nM,133.16,135.3,Itp21tly8nM_133.15868351_135.30027494,empathy works with happy feelings too,neutral
PDHUNKuC9dM,169.8,171.49,PDHUNKuC9dM_169.79776493_171.48636011,got it nancy very good thank you,empathetic
Itp21tly8nM,152.46,155.19,Itp21tly8nM_152.46435374_155.18762014,here are four things that you can start doing today,neutral
VQ440xOiyho,74.09,75.36,VQ440xOiyho_74.08797589_75.35676977,You're really serious aren't you?,neutral
vt2NjqXKzyA,3053.78,3055.62,vt2NjqXKzyA_3053.776_3055.615,i think it developed in his lifetime,neutral
PDHUNKuC9dM,12.05,13.01,PDHUNKuC9dM_12.04822781_13.01409166,devoted to listening,neutral
yQ1IA117gKE,212.84,219.55,yQ1IA117gKE_212.84116197_219.55029563,"On this part with your kids you're very responsible, right, you're a loving, caring mother and you're working, trying to take care of the kids.",empathetic
zA4jB0FBxQw,12.41,13.14,zA4jB0FBxQw_12.41240632_13.14076599,Um,neutral
-kfUE41-JFw,237.3,240.89,-kfUE41-JFw_237.29843125_240.88792165,You need to reduce expectations to zero for a time.,empathetic
e4aHb_GTRVo,320.14,328.3,e4aHb_GTRVo_320.144_328.295,it softens us we see the people lives differently we rewrite the narratives that we tell ourselves about others and the kindest ways possible,empathetic
Le13by2WM70,22.4,22.94,Le13by2WM70_22.4010595_22.93667491,So what are we,neutral
-kfUE41-JFw,18.15,23.8,-kfUE41-JFw_18.14938409_23.79890732,We learn how to tell ourselves off for our failures and for not working hard or smart enough.,empathetic
_V0WHjBgfw8,468.54,475.68,_V0WHjBgfw8_468.543_475.6821105,well as i said at the beginning of the conversation it's one of the hardest conversations to have i think because it makes us question a lot of what we've allowed in society,empathetic
e4aHb_GTRVo,146.67,176.32,e4aHb_GTRVo_146.669_176.318,and the more I though about that the more I kept coming back to empathy and the role that is played at various stages in my life for reasons I'll explain in a minute and so I thought yeah look at the nature of the world today and look at the problems that people have in relationships on a daily basis wouldn't empathy be a wonderful thing to inject into the world and into relationships so I decided to study empathy and this is how I did it I created an upper division class that focused on empathy and I had all my students keep empathy journals for the course of the semester and I did this,empathetic
VQ440xOiyho,68.91,70.21,VQ440xOiyho_68.90905743_70.20912507,And I thought about that,neutral
te381B03tA4,108.33,108.76,te381B03tA4_108.329_108.7560223,Brook,empathetic
0SEGAK-wRLs,6.03,7.56,0SEGAK-wRLs_6.03284672_7.5597213,can't be upsetting it's just different,neutral
EmJWrU73A18,90.09,91.35,EmJWrU73A18_90.09424718_91.3454799,"And when she comes home, """"hi"""" you know",neutral
vt2NjqXKzyA,3092.76,3104.79,vt2NjqXKzyA_3092.757_3104.78608846,so when we're talking about the textbook methods of counseling that are used are those the type of methods that you use in person centered or do you do you deviate from that in any way,neutral
vt2NjqXKzyA,757.61,764.24,vt2NjqXKzyA_757.60962002_764.243,and no control over the the movement into anxiety and stress,empathetic
yQ1IA117gKE,629.44,629.91,yQ1IA117gKE_629.44480254_629.91375478,okay,empathetic
yQ1IA117gKE,664.11,664.73,yQ1IA117gKE_664.11416492_664.73050215,okay?,empathetic
VQ440xOiyho,99.42,101.33,VQ440xOiyho_99.4205903_101.33036656,No...no!,neutral
VQ440xOiyho,67.4,68.59,VQ440xOiyho_67.39879759_68.58856625,are my friends and uhh,neutral
vt2NjqXKzyA,3009.22,3016.74,vt2NjqXKzyA_3009.2246173_3016.735,um that the client experiences acceptance from the the counselor,neutral
vt2NjqXKzyA,2241.45,2255.01,vt2NjqXKzyA_2241.447_2255.01019839,in this form it feels like you're still stuck with this in this situation where where you feel anxious and you know what you need to do and you just can't get around to doing it,empathetic
yQ1IA117gKE,649.97,658.05,yQ1IA117gKE_649.97401361_658.04935996,"I'm just waiting to see how much I would get for my TCI, and then after that I can send out how much you guys need me to send out.",neutral
e4aHb_GTRVo,899.29,905.56,e4aHb_GTRVo_899.294_905.555,two different empathy languages and we because when we come to know each other we can start to learn to speak each other's empathy languages,empathetic
yQ1IA117gKE,609.63,611.96,yQ1IA117gKE_609.62795858_611.963,And you got a boot fee of $100.,neutral
-kfUE41-JFw,240.89,248.76,-kfUE41-JFw_240.88792165_248.763,"Take each new hour as it comes, and without being banal, what you need most of all, is some rest.",empathetic
sAquwhl304I,36.04,37.0,sAquwhl304I_36.037_36.999,she's no ass,empathetic
vt2NjqXKzyA,77.04,77.36,vt2NjqXKzyA_77.043_77.364,hm,empathetic
4md_A059JRc,63.17,66.72,4md_A059JRc_63.172_66.716,anybody who's been involved with this organization certainly knows this and lives this,neutral
OP0H0j4pCOg,90.89,92.6,OP0H0j4pCOg_90.88641405_92.59862725,What? No I wish more would,neutral
fLssIxqEDq0,58.59,59.98,fLssIxqEDq0_58.59128448_59.9786162,We have to invest,neutral
vt2NjqXKzyA,1157.33,1158.73,vt2NjqXKzyA_1157.33_1158.73,you know what you need to do,empathetic
VQ440xOiyho,65.43,66.96,VQ440xOiyho_65.42728641_66.96388799,I know that your friends...,neutral
vt2NjqXKzyA,1615.3,1616.91,vt2NjqXKzyA_1615.30129704_1616.91103334,yeah,empathetic
_bqhVqTuFO4,174.4,175.17,_bqhVqTuFO4_174.395_175.16782827,Not when they're at the ballet.,neutral
yQ1IA117gKE,495.03,497.3,yQ1IA117gKE_495.0336604_497.29802977,Watch this. Look at her.,neutral
_V0WHjBgfw8,165.25,173.87,_V0WHjBgfw8_165.25467999_173.86719975,and you've talked about you've talked about his history you've talked about you know his history with abuse you've talked about his his history with you know the issues that he deals with mentally et cetera,empathetic
0SEGAK-wRLs,404.14,415.02,0SEGAK-wRLs_404.13861801_415.02215051,for real man you're one of the funniest people i know uh one of the most insightful people just in like how you've lived how you've enjoyed how you've done your thing um i do have to like relearn your name which is weird,empathetic
vt2NjqXKzyA,1151.72,1156.99,vt2NjqXKzyA_1151.72156789_1156.992,you've kind of got something against you against this part that knows what it needs to do,empathetic
EmJWrU73A18,44.11,45.48,EmJWrU73A18_44.10847979_45.47825034,You got to understand I had been,empathetic
GQhw9teSyKc,52.5,58.78,GQhw9teSyKc_52.50294815_58.77574422,And it's also making it harder for you as a manager to run an efficient department and achieve our,empathetic
FDFdroN7d0w,106.08,106.99,FDFdroN7d0w_106.07945529_106.99338371,Do you love her?,neutral
e4aHb_GTRVo,314.22,319.18,e4aHb_GTRVo_314.221_319.182,and when we start to communicate in that way the primary thing that it does is it changes us,empathetic
yQ1IA117gKE,124.68,126.41,yQ1IA117gKE_124.68024518_126.41208437,What else do you wanna tell me about this?,neutral
EmJWrU73A18,117.68,117.87,EmJWrU73A18_117.68308844_117.86748063,mm-hmm,empathetic
yQ1IA117gKE,120.19,122.68,yQ1IA117gKE_120.192_122.68384851,Do you have a parking space now where you can park the car?,neutral
ZqJJzeo_t5Q,1110.05,1111.89,ZqJJzeo_t5Q_1110.04970946_1111.88912643,clean clean mirror,empathetic
EmJWrU73A18,50.66,51.46,EmJWrU73A18_50.65830617_51.457339,I'd done it all,neutral
yQ1IA117gKE,627.56,629.44,yQ1IA117gKE_627.55559496_629.44480254,I'm gonna release I'm gonna release the boot.,empathetic
EmJWrU73A18,162.85,165.54,EmJWrU73A18_162.84981087_165.53709784,Life differently they may even make you laugh a little bit,neutral
e4aHb_GTRVo,609.18,610.22,e4aHb_GTRVo_609.179_610.225,I'm gonna mount to something,empathetic
eq3-F_738gA,58.6,59.67,eq3-F_738gA_58.59868948_59.67092676,You seem like a nice guy,neutral
dGIGG6QLjLg,183.92,185.36,dGIGG6QLjLg_183.92190811_185.363,God damn it what do you want,neutral
vt2NjqXKzyA,268.86,270.12,vt2NjqXKzyA_268.861_270.12485099,and usually their weekly,neutral
ZqJJzeo_t5Q,157.58,165.5,ZqJJzeo_t5Q_157.58036344_165.502,so that's what this bad spirits so whether the bad spirits your mind were in the streets right your mind was in the streets talk about that,empathetic
vt2NjqXKzyA,127.27,132.83,vt2NjqXKzyA_127.26896396_132.832,and i think the main thing about that is is confidentiality,empathetic
Le13by2WM70,136.76,137.62,Le13by2WM70_136.75948834_137.61998523,Swin through it,neutral
PDHUNKuC9dM,36.93,37.9,PDHUNKuC9dM_36.93307759_37.89894144,i'm great matt,neutral
GQhw9teSyKc,43.18,43.36,GQhw9teSyKc_43.18299852_43.36300042,Yeah,neutral
6sNn7g99JEI,46.58,47.27,6sNn7g99JEI_46.583_47.26667172,of course,empathetic
fLssIxqEDq0,48.19,51.95,fLssIxqEDq0_48.19387713_51.94906604,Well it has a number of different reasons but one of them is child care,neutral
fLssIxqEDq0,110.98,114.91,fLssIxqEDq0_110.98222425_114.911,And have a global economic recovery that we're all hoping for,neutral
zA4jB0FBxQw,132.09,132.71,zA4jB0FBxQw_132.09380986_132.70716537,i did,neutral
vt2NjqXKzyA,1298.94,1307.79,vt2NjqXKzyA_1298.945_1307.78742899,yeah i'm kind of struggling to recognize it as you and i'm struggling to understand it,empathetic
OP0H0j4pCOg,12.68,13.47,OP0H0j4pCOg_12.68213615_13.4746976,Well now there is,neutral
PDHUNKuC9dM,173.93,176.72,PDHUNKuC9dM_173.93175178_176.72187845,you're a good listener now kent on the other hand,neutral
vt2NjqXKzyA,2524.29,2528.05,vt2NjqXKzyA_2524.289_2528.052,this happiness this restriction is inside is inside,empathetic
vt2NjqXKzyA,2214.67,2215.06,vt2NjqXKzyA_2214.67062006_2215.05908797,yeah,empathetic
OP0H0j4pCOg,44.11,46.32,OP0H0j4pCOg_44.11086017_46.32356645,Yeah the stuff I just told you about,neutral
vt2NjqXKzyA,1352.66,1364.05,vt2NjqXKzyA_1352.658_1364.048,and um and um and hopefully as we talk about this and explore it that will emerge,empathetic
jsLUidiYm0w,102.7,103.75,jsLUidiYm0w_102.70273034_103.75151148,the cover sheet i know,neutral
vt2NjqXKzyA,3269.89,3277.24,vt2NjqXKzyA_3269.88622811_3277.23841239,and i tried to reinforce what the client said to me that it must be something in me,neutral
fLssIxqEDq0,21.87,24.42,fLssIxqEDq0_21.86863093_24.42385812,We see children better off in society,neutral
Itp21tly8nM,104.77,110.17,Itp21tly8nM_104.76517232_110.16687075,you could say something such as I know how much you love your cat you must be feeling really sad,empathetic
PDHUNKuC9dM,98.95,106.51,PDHUNKuC9dM_98.94869205_106.50672459,about politics that you may not necessarily agree on but they have this reason why they feel this law that they want past or whatever it may be,neutral
0SEGAK-wRLs,215.4,216.54,0SEGAK-wRLs_215.401_216.54493602,you're enjoying it?,empathetic
ZqJJzeo_t5Q,968.03,970.04,ZqJJzeo_t5Q_968.02722968_970.03792839,talk about that,empathetic
GQhw9teSyKc,96.25,100.46,GQhw9teSyKc_96.2495529_100.4556518,The binders speak for themselves we do have a lot of work and I did hear you say the word,neutral
VQ440xOiyho,45.05,46.64,VQ440xOiyho_45.04684217_46.63632088,Let's just avoid the issue alright?,neutral
6sNn7g99JEI,8.66,10.36,6sNn7g99JEI_8.66214286_10.36062566,well thank you,neutral
_V0WHjBgfw8,15.83,18.69,_V0WHjBgfw8_15.82521708_18.69210735,and it's in and around the issue of abuse,empathetic
k_OxtAg4-u8,622.86,624.53,k_OxtAg4-u8_622.85523179_624.52637188,so let's demo that,neutral
0SEGAK-wRLs,417.77,420.7,0SEGAK-wRLs_417.77139926_420.69982784,because it's like now i feel like i'm in your family which i think you understand,neutral
yQ1IA117gKE,188.16,192.04,yQ1IA117gKE_188.16479312_192.03699873,"But it's irresponsible of you, to give me excuse well I'm tired.",neutral
vt2NjqXKzyA,3048.87,3051.23,vt2NjqXKzyA_3048.86791036_3051.23106413,has it changed at all over time,neutral
ZqJJzeo_t5Q,767.78,769.42,ZqJJzeo_t5Q_767.78155522_769.41990232,and get into what,empathetic
yQ1IA117gKE,122.68,123.31,yQ1IA117gKE_122.68384851_123.31358438,Absolutely,neutral
yQ1IA117gKE,205.48,212.84,yQ1IA117gKE_205.48368725_212.84116197,"I mean these aren't crimes, it's just irresponsibility when it comes to parking. So you have two parts to your life.",neutral
PDHUNKuC9dM,179.56,181.26,PDHUNKuC9dM_179.55767592_181.26110854,he'll have a chance to retort,neutral
64s5r-Fu5E0,128.96,130.77,64s5r-Fu5E0_128.95925594_130.76805552,I'm feeling badly this happened to you,empathetic
vt2NjqXKzyA,750.12,757.61,vt2NjqXKzyA_750.119_757.60962002,no control in the stuckness it feels like because you can't you know you need to be doing things and somehow you can't,empathetic
_bqhVqTuFO4,136.78,138.32,_bqhVqTuFO4_136.78_138.316,"Every girl likes flowers, Gary. ",neutral
Le13by2WM70,36.25,36.64,Le13by2WM70_36.25496683_36.64233382,Saw that,neutral
yQ1IA117gKE,367.58,373.44,yQ1IA117gKE_367.58_373.436,"I can't really change it to his name anyway. I can't change that to his name, we're never gonna get the money.",neutral
EmJWrU73A18,59.94,61.54,EmJWrU73A18_59.93687145_61.53730575,I had totally kind of put all of that aside and,neutral
bL-2uJufogQ,36.34,38.5,bL-2uJufogQ_36.34_38.5,good luck,empathetic
vt2NjqXKzyA,1914.39,1915.21,vt2NjqXKzyA_1914.393_1915.21266555,yeah,empathetic
0SEGAK-wRLs,235.39,235.84,0SEGAK-wRLs_235.38911004_235.84339243,yeah,empathetic
EmJWrU73A18,14.31,15.21,EmJWrU73A18_14.31100053_15.21101003,The voice,neutral
vt2NjqXKzyA,1701.48,1706.37,vt2NjqXKzyA_1701.48298785_1706.37472449,because it's there in you and you want to get rid of it,empathetic
Le13by2WM70,110.84,112.21,Le13by2WM70_110.83903972_112.20570279,And then you gotta follow that for about,neutral
vt2NjqXKzyA,2903.86,2904.3,vt2NjqXKzyA_2903.85913745_2904.29827508,okay,empathetic
PDHUNKuC9dM,147.86,148.78,PDHUNKuC9dM_147.86056779_148.77885738,but i will say,neutral
yQ1IA117gKE,685.74,686.44,yQ1IA117gKE_685.7444341_686.44116314,Thank you.,empathetic
OP0H0j4pCOg,13.92,15.56,OP0H0j4pCOg_13.92250721_15.56008547,With new five hour empathy,neutral
jsLUidiYm0w,92.14,94.95,jsLUidiYm0w_92.14107712_94.94876037,listening at a reasonable volume from nine to eleven,neutral
dGIGG6QLjLg,114.83,118.41,dGIGG6QLjLg_114.82978097_118.40935422,you tell me when I'm being an arrogant son of a bitch and I tell you when you're being a pain in the ass,neutral
Le13by2WM70,33.7,35.17,Le13by2WM70_33.7042082_35.17056514,Oh ooh it's on the tip of my tongue!,neutral
yQ1IA117gKE,302.27,302.58,yQ1IA117gKE_302.26692443_302.57509304,thank you,neutral
_V0WHjBgfw8,161.04,165.25,_V0WHjBgfw8_161.04356554_165.25467999,you know we there are layers to people which make it complicated,empathetic
yQ1IA117gKE,671.72,672.69,yQ1IA117gKE_671.72143687_672.68613861,Just relax.,empathetic
OP0H0j4pCOg,21.57,27.01,OP0H0j4pCOg_21.5724958_27.00610808,That provides five full hours of complete intimate understanding of years of systemic oppression,neutral
ZqJJzeo_t5Q,645.98,658.62,ZqJJzeo_t5Q_645.98494993_658.62110524,give us one situation where those egos really came to place to where it made for a bad time or a situation that was unresolved or misunderstanding,empathetic
ZqJJzeo_t5Q,402.38,407.57,ZqJJzeo_t5Q_402.37636171_407.573,I guess that's why we go toq  therapy because the therapist is to be neutral,empathetic
OP0H0j4pCOg,36.71,37.96,OP0H0j4pCOg_36.70845426_37.95529669,So...,neutral
zwH3cZy4hIc,36.99,38.51,zwH3cZy4hIc_36.99100291_38.50915019,you're safe,empathetic
-kfUE41-JFw,107.66,115.35,-kfUE41-JFw_107.6636237_115.349,"We've failed, but given the mountain we were trying to climb, the conclusion doesn't have to be that we're simply fools.",empathetic
dGIGG6QLjLg,177.27,177.99,dGIGG6QLjLg_177.27326476_177.98780088,what do you want,neutral
e4aHb_GTRVo,620.82,640.6,e4aHb_GTRVo_620.823_640.601,I had relatives that had empathy for my situation and they made it possible for me to go to college if I wanted at that point I was I was be earning for I wanted to make something of myself so I did what I needed to do and I started school is the most scared freshmen you'll ever want to meet I was so scared that on the first day of class the teacher had to call my name four times in roll call because I didn't recognize it was me,empathetic
vt2NjqXKzyA,456.63,460.71,vt2NjqXKzyA_456.629_460.713,yeah and yes i don't and as i say i don't really know,neutral
Le13by2WM70,93.62,96.09,Le13by2WM70_93.61547074_96.0887483,My Ted here's got relatives in Sydney...don't you Ted,neutral
Itp21tly8nM,213.71,219.55,Itp21tly8nM_213.71399093_219.55092575,just because something is not a big deal to you doesn't mean that it might not be a big deal for someone else,neutral
_bqhVqTuFO4,10.28,11.36,_bqhVqTuFO4_10.285_11.365,It'd be nice if you help me.,neutral
vt2NjqXKzyA,3284.79,3296.02,vt2NjqXKzyA_3284.79094435_3296.01853128,um i think reflecting is is is part of what anyone who is listening needs to do,neutral
ZqJJzeo_t5Q,243.81,252.07,ZqJJzeo_t5Q_243.81355747_252.07,so you didn't get into a lot of trouble in the streets or you did you you stole and,empathetic
QNBa3HHjnGA,208.43,211.0,QNBa3HHjnGA_208.432_211.0,You don't need to apologize,empathetic
EmJWrU73A18,10.72,13.7,EmJWrU73A18_10.72278807_13.69635989,You did you were probably near the first person that really called me that,neutral
ZqJJzeo_t5Q,938.34,942.72,ZqJJzeo_t5Q_938.34405268_942.72085159,well personal success is when you're happy,empathetic
